world,r,T,ll_m0,ll_m1,ll_m2,d10,d21,d20,g1,g2,label
A,0,1500,-409.981277394403,-298.3474436279103,-295.62162583666327,111.63383376649267,2.7258177912470387,114.35965155773971,True,False,M1_sufficient
A,1,1500,-413.7413287203318,-310.57368956168057,-315.41519173485574,103.16763915865124,-4.841502173175172,98.32613698547607,True,False,M1_sufficient
A,2,1500,-412.91542926159536,-293.34645710448433,-296.7711930194887,119.56897215711103,-3.424735915004362,116.14423624210667,True,False,M1_sufficient
A,3,1500,-410.2377787299073,-308.5805538588049,-306.87161148849725,101.65722487110241,1.708942370307625,103.36616724141004,True,False,M1_sufficient
A,4,1500,-411.5887633712077,-303.43669772639356,-305.5115748198166,108.15206564481412,-2.0748770934230265,106.07718855139109,True,False,M1_sufficient
A,5,1500,-416.45385390626984,-333.848347523812,-341.19384095097763,82.60550638245786,-7.34549342716565,75.26001295529221,True,False,M1_sufficient
A,6,1500,-426.3051102024675,-317.0799872682687,-324.04845659641535,109.2251229341988,-6.968469328146625,102.25665360605217,True,False,M1_sufficient
A,7,1500,-416.7159562984883,-301.9863451203689,-303.49537648571857,114.7296111781194,-1.5090313653496423,113.22057981276976,True,False,M1_sufficient
A,8,1500,-411.81309275991214,-300.8687546125552,-303.98294192203207,110.94433814735692,-3.114187309476847,107.83015083788007,True,False,M1_sufficient
A,9,1500,-413.89382959324047,-305.7387349542255,-313.6811405460998,108.15509463901498,-7.942405591874319,100.21268904714066,True,False,M1_sufficient
A,10,1500,-419.388076546916,-322.79146817661115,-324.5578568778679,96.59660837030486,-1.7663887012567443,94.83021966904812,True,False,M1_sufficient
A,11,1500,-412.1111200458145,-292.6102563891727,-295.4379258803997,119.5008636566418,-2.8276694912269704,116.67319416541483,True,False,M1_sufficient
A,12,1500,-414.6507856314346,-320.2098798081577,-325.8027658781893,94.44090582327686,-5.592886070031568,88.8480197532453,True,False,M1_sufficient
A,13,1500,-412.49417506915137,-315.79589028403774,-318.2231574837309,96.69828478511363,-2.4272671996931763,94.27101758542045,True,False,M1_sufficient
A,14,1500,-411.4383301473032,-302.4723964356584,-302.3144656632798,108.96593371164477,0.15793077237862008,109.12386448402339,True,False,M1_sufficient
A,15,1500,-412.2401633439168,-305.17008901652883,-307.58799226233805,107.07007432738794,-2.417903245809214,104.65217108157873,True,False,M1_sufficient
A,16,1500,-415.4142979928874,-309.08479106472834,-310.890805060904,106.32950692815905,-1.8060139961756363,104.52349293198341,True,False,M1_sufficient
A,17,1500,-413.28109176404,-287.3932968804899,-290.8652770708348,125.8877948835501,-3.4719801903448797,122.41581469320522,True,False,M1_sufficient
A,18,1500,-414.5670978146535,-315.01643861429216,-318.7579215602736,99.55065920036134,-3.7414829459814314,95.8091762543799,True,False,M1_sufficient
A,19,1500,-411.3266309911222,-303.36743705759585,-305.4925973283305,107.95919393352636,-2.125160270734625,105.83403366279174,True,False,M1_sufficient
A,20,1500,-412.6318600783229,-291.1297703803088,-290.0979611566334,121.50208969801412,1.0318092236753955,122.53389892168951,True,False,M1_sufficient
A,21,1500,-415.02926593082765,-303.5031740449862,-302.3457932276579,111.52609188584142,1.1573808173283169,112.68347270316974,True,False,M1_sufficient
A,22,1500,-413.6345364407859,-304.1241925176471,-304.1786805681975,109.5103439231388,-0.054488050550389744,109.45585587258842,True,False,M1_sufficient
A,23,1500,-408.06555660285545,-283.97725017253515,-290.7904056201465,124.0883064303203,-6.8131554476113365,117.27515098270896,True,False,M1_sufficient
A,24,1500,-410.02864540944495,-323.1211005532062,-326.0151433435423,86.90754485623876,-2.8940427903361297,84.01350206590263,True,False,M1_sufficient
A,25,1500,-413.84200094873205,-299.5487689542007,-301.3290193167304,114.29323199453137,-1.7802503625297277,112.51298163200164,True,False,M1_sufficient
A,26,1500,-419.19219201530706,-332.57343180516256,-337.23746455357383,86.6187602101445,-4.664032748411273,81.95472746173323,True,False,M1_sufficient
A,27,1500,-412.1132655721121,-325.1456135491499,-330.1835666931318,86.96765202296217,-5.037953143981895,81.92969887898028,True,False,M1_sufficient
A,28,1500,-411.47653730480135,-309.61699972569994,-314.206248509788,101.85953757910141,-4.589248784088056,97.27028879501336,True,False,M1_sufficient
A,29,1500,-409.6166989012676,-309.31118130695324,-311.69484285579284,100.30551759431438,-2.383661548839598,97.92185604547478,True,False,M1_sufficient
A,30,1500,-410.5386397688996,-290.99314315145494,-296.8610372624177,119.54549661744466,-5.867894110962766,113.67760250648189,True,False,M1_sufficient
A,31,1500,-407.8698840042553,-322.440378536477,-325.3059219422535,85.42950546777831,-2.8655434057765206,82.56396206200179,True,False,M1_sufficient
A,32,1500,-413.7351754900158,-307.64408280925625,-308.5801000862517,106.09109268075957,-0.9360172769954715,105.1550754037641,True,False,M1_sufficient
A,33,1500,-410.6749907284696,-321.3515357529356,-324.95576008428634,89.32345497553399,-3.6042243313507356,85.71923064418326,True,False,M1_sufficient
