phase,start,end,days,mean_slope_z
quiet_dominance,2017-06-01 04:00:00,2017-06-28 13:30:00,27,0.9002027713746169
quiet_dominance,2018-01-11 14:30:00,2018-02-01 14:30:00,21,1.4758973165985225
quiet_dominance,2018-07-13 13:30:00,2018-07-24 13:30:00,11,0.7937998596372635
quiet_dominance,2018-07-27 13:30:00,2018-08-10 13:30:00,14,0.8723036470643624
quiet_dominance,2018-09-05 13:30:00,2018-09-26 13:30:00,21,1.409840596647796
quiet_dominance,2019-01-25 14:30:00,2019-02-26 14:30:00,32,1.183258085966051
quiet_dominance,2019-11-01 13:30:00,2019-11-13 14:30:00,12,0.808672421161028
quiet_dominance,2020-04-24 13:30:00,2020-05-29 13:30:00,35,0.8817405994746825
quiet_dominance,2020-06-01 13:30:00,2020-06-15 13:30:00,14,0.9012808478172133
quiet_dominance,2020-10-14 13:30:00,2020-10-26 13:30:00,12,0.8752626189551059
quiet_dominance,2021-01-11 14:30:00,2021-01-22 14:30:00,11,1.0180045335486403
quiet_dominance,2021-04-15 13:30:00,2021-04-28 13:30:00,13,0.7570564354169317
quiet_dominance,2021-08-10 13:30:00,2021-08-31 13:30:00,21,0.9666582174519505
quiet_dominance,2022-07-26 13:30:00,2022-08-16 13:30:00,21,0.8259453315966718
quiet_dominance,2022-11-04 13:30:00,2022-11-25 14:30:00,21,1.1546784649004493
quiet_dominance,2023-06-30 13:30:00,2023-07-13 13:30:00,13,0.8917075560054144
quiet_dominance,2023-08-25 13:30:00,2023-09-06 13:30:00,12,1.1286979029221318
quiet_dominance,2024-08-21 13:30:00,2024-09-01 04:00:00,10,1.4119140174843994
quiet_dominance,2024-11-11 14:30:00,2024-11-25 14:30:00,14,0.8478881927544926
quiet_dominance,2025-03-13 13:30:00,2025-03-26 13:30:00,13,1.3905717658613432
quiet_dominance,2025-04-24 13:30:00,2025-05-22 13:30:00,28,1.1167105835106343
quiet_dominance,2025-09-10 13:30:00,2025-09-23 13:30:00,13,1.0412615238293008
quiet_dominance,2025-09-26 13:30:00,2025-10-06 13:30:00,10,0.592020532639043
quiet_dominance,2026-01-16 14:30:00,2026-02-23 14:30:00,38,1.643026758606645
catch_up_disturbance,2017-06-14 13:30:00,2017-06-14 13:30:00,1,2.1608751669719974
catch_up_disturbance,2017-06-15 13:30:00,2017-06-15 13:30:00,1,2.1265070169540863
catch_up_disturbance,2017-08-29 13:30:00,2017-08-29 13:30:00,1,0.9515439286483981
catch_up_disturbance,2017-08-30 13:30:00,2017-08-30 13:30:00,1,0.7950893094650373
catch_up_disturbance,2017-08-31 13:30:00,2017-08-31 13:30:00,1,0.9096164893260033
catch_up_disturbance,2017-09-01 04:00:00,2017-09-01 04:00:00,1,1.8410819553014477
catch_up_disturbance,2017-09-01 13:30:00,2017-09-01 13:30:00,1,0.6476048916489223
catch_up_disturbance,2017-12-01 05:00:00,2017-12-01 05:00:00,1,-0.2337875623080101
catch_up_disturbance,2017-12-01 14:30:00,2017-12-01 14:30:00,1,0.03675980234961763
catch_up_disturbance,2017-12-21 14:30:00,2017-12-21 14:30:00,1,0.7800443348444908
catch_up_disturbance,2018-01-04 14:30:00,2018-01-04 14:30:00,1,1.9964894316425872
catch_up_disturbance,2018-01-05 14:30:00,2018-01-05 14:30:00,1,2.129591770843498
catch_up_disturbance,2018-03-08 14:30:00,2018-03-08 14:30:00,1,-0.10025699043043913
catch_up_disturbance,2018-03-09 14:30:00,2018-03-09 14:30:00,1,0.08630272531493201
catch_up_disturbance,2018-04-12 13:30:00,2018-04-12 13:30:00,1,1.0036032698206343
catch_up_disturbance,2018-04-13 13:30:00,2018-04-13 13:30:00,1,0.7119275921797107
catch_up_disturbance,2018-04-16 13:30:00,2018-04-16 13:30:00,1,0.7433068286045855
catch_up_disturbance,2018-05-08 13:30:00,2018-05-08 13:30:00,1,-0.2988166020962345
catch_up_disturbance,2018-05-09 13:30:00,2018-05-09 13:30:00,1,-0.2519643719478268
catch_up_disturbance,2018-05-30 13:30:00,2018-05-30 13:30:00,1,3.114264311783329
catch_up_disturbance,2018-05-31 13:30:00,2018-05-31 13:30:00,1,2.565339595695778
catch_up_disturbance,2018-07-02 13:30:00,2018-07-02 13:30:00,1,0.5664554605577876
catch_up_disturbance,2018-07-13 13:30:00,2018-07-13 13:30:00,1,0.8459280567160804
catch_up_disturbance,2018-07-16 13:30:00,2018-07-16 13:30:00,1,0.9457253504762618
catch_up_disturbance,2018-07-19 13:30:00,2018-07-19 13:30:00,1,1.2889107458994047
catch_up_disturbance,2018-08-20 13:30:00,2018-08-20 13:30:00,1,1.393979668464328
catch_up_disturbance,2018-09-10 13:30:00,2018-09-10 13:30:00,1,2.2761207587592565
catch_up_disturbance,2018-09-11 13:30:00,2018-09-11 13:30:00,1,1.921287555159947
catch_up_disturbance,2018-09-12 13:30:00,2018-09-12 13:30:00,1,2.479585259884624
catch_up_disturbance,2018-11-06 14:30:00,2018-11-06 14:30:00,1,-0.7876016785159967
catch_up_disturbance,2019-01-09 14:30:00,2019-01-09 14:30:00,1,1.2223285108802695
catch_up_disturbance,2019-01-10 14:30:00,2019-01-10 14:30:00,1,1.6726257254732768
catch_up_disturbance,2019-05-23 13:30:00,2019-05-23 13:30:00,1,1.0230254667034526
catch_up_disturbance,2019-06-04 13:30:00,2019-06-04 13:30:00,1,2.514123344057708
catch_up_disturbance,2019-06-05 13:30:00,2019-06-05 13:30:00,1,3.6638317786044654
catch_up_disturbance,2019-06-06 13:30:00,2019-06-06 13:30:00,1,2.989807191668036
catch_up_disturbance,2019-06-07 13:30:00,2019-06-07 13:30:00,1,1.7270004942104864
catch_up_disturbance,2019-08-08 13:30:00,2019-08-08 13:30:00,1,-0.5040139189012843
catch_up_disturbance,2019-08-19 13:30:00,2019-08-19 13:30:00,1,0.3730468655482871
catch_up_disturbance,2019-08-29 13:30:00,2019-08-29 13:30:00,1,1.575855007920199
catch_up_disturbance,2019-08-30 13:30:00,2019-08-30 13:30:00,1,2.6047546717380845
catch_up_disturbance,2019-09-01 04:00:00,2019-09-01 04:00:00,1,4.495621657013385
catch_up_disturbance,2019-09-03 13:30:00,2019-09-03 13:30:00,1,1.212329589072623
catch_up_disturbance,2019-09-04 13:30:00,2019-09-04 13:30:00,1,1.7156304312332735
catch_up_disturbance,2019-09-10 13:30:00,2019-09-10 13:30:00,1,3.5370159224075155
catch_up_disturbance,2019-09-11 13:30:00,2019-09-11 13:30:00,1,3.229384122000433
catch_up_disturbance,2019-12-16 14:30:00,2019-12-16 14:30:00,1,-0.6125240655427542
catch_up_disturbance,2019-12-17 14:30:00,2019-12-17 14:30:00,1,-0.44878666135228057
catch_up_disturbance,2020-02-03 14:30:00,2020-02-03 14:30:00,1,1.9811971077575345
catch_up_disturbance,2020-02-04 14:30:00,2020-02-04 14:30:00,1,2.1541470955518642
catch_up_disturbance,2020-02-05 14:30:00,2020-02-05 14:30:00,1,2.3923172137760917
catch_up_disturbance,2020-03-25 13:30:00,2020-03-25 13:30:00,1,-0.701936390675019
catch_up_disturbance,2020-03-26 13:30:00,2020-03-26 13:30:00,1,-0.4037212603525509
catch_up_disturbance,2020-03-27 13:30:00,2020-03-27 13:30:00,1,0.28643764789768117
catch_up_disturbance,2020-03-30 13:30:00,2020-03-30 13:30:00,1,-0.334237401079239
catch_up_disturbance,2020-04-21 13:30:00,2020-04-21 13:30:00,1,1.748305808712387
catch_up_disturbance,2020-08-07 13:30:00,2020-08-07 13:30:00,1,0.21463629034037196
catch_up_disturbance,2020-08-10 13:30:00,2020-08-10 13:30:00,1,0.28765854371326544
catch_up_disturbance,2020-08-11 13:30:00,2020-08-11 13:30:00,1,0.5624463505173904
catch_up_disturbance,2020-09-01 04:00:00,2020-09-01 04:00:00,1,2.4237169481906458
catch_up_disturbance,2020-09-01 13:30:00,2020-09-01 13:30:00,1,1.2846169757035653
catch_up_disturbance,2020-10-06 13:30:00,2020-10-06 13:30:00,1,0.13750260035916687
catch_up_disturbance,2020-10-19 13:30:00,2020-10-19 13:30:00,1,1.661374626404104
catch_up_disturbance,2020-11-19 14:30:00,2020-11-19 14:30:00,1,0.34431538191364613
catch_up_disturbance,2020-11-23 14:30:00,2020-11-23 14:30:00,1,1.069621192203021
catch_up_disturbance,2020-11-24 14:30:00,2020-11-24 14:30:00,1,2.3766815457639763
catch_up_disturbance,2020-11-25 14:30:00,2020-11-25 14:30:00,1,2.3512908504033465
catch_up_disturbance,2020-11-27 14:30:00,2020-11-27 14:30:00,1,2.1730111368393192
catch_up_disturbance,2020-11-30 14:30:00,2020-11-30 14:30:00,1,1.7374140145586254
catch_up_disturbance,2020-12-01 05:00:00,2020-12-01 05:00:00,1,3.654779539981151
catch_up_disturbance,2021-01-06 14:30:00,2021-01-06 14:30:00,1,0.4866413619770639
catch_up_disturbance,2021-01-12 14:30:00,2021-01-12 14:30:00,1,1.4136627035807448
catch_up_disturbance,2021-02-22 14:30:00,2021-02-22 14:30:00,1,0.2047531378798277
catch_up_disturbance,2021-02-23 14:30:00,2021-02-23 14:30:00,1,0.9886403326893423
catch_up_disturbance,2021-02-24 14:30:00,2021-02-24 14:30:00,1,1.3137891837783457
catch_up_disturbance,2021-02-25 14:30:00,2021-02-25 14:30:00,1,1.606893464022627
catch_up_disturbance,2021-03-30 13:30:00,2021-03-30 13:30:00,1,-0.006728701270417239
catch_up_disturbance,2021-03-31 13:30:00,2021-03-31 13:30:00,1,-0.12221768239771397
catch_up_disturbance,2021-06-01 04:00:00,2021-06-01 04:00:00,1,1.3353075162991628
catch_up_disturbance,2021-06-01 13:30:00,2021-06-01 13:30:00,1,1.1314837218442304
catch_up_disturbance,2021-06-03 13:30:00,2021-06-03 13:30:00,1,1.419891158242094
catch_up_disturbance,2021-07-21 13:30:00,2021-07-21 13:30:00,1,0.7013774915436741
catch_up_disturbance,2021-10-08 13:30:00,2021-10-08 13:30:00,1,-1.7887110219564104
catch_up_disturbance,2021-10-13 13:30:00,2021-10-13 13:30:00,1,-0.9748343190979729
catch_up_disturbance,2021-10-14 13:30:00,2021-10-14 13:30:00,1,-0.40824891756152976
catch_up_disturbance,2022-01-12 14:30:00,2022-01-12 14:30:00,1,0.9448370072022961
catch_up_disturbance,2022-02-09 14:30:00,2022-02-09 14:30:00,1,-1.4121392509938333
catch_up_disturbance,2022-02-17 14:30:00,2022-02-17 14:30:00,1,0.10918336176234804
catch_up_disturbance,2022-02-18 14:30:00,2022-02-18 14:30:00,1,0.1645458502794913
catch_up_disturbance,2022-03-01 05:00:00,2022-03-01 05:00:00,1,1.484687728134716
catch_up_disturbance,2022-03-01 14:30:00,2022-03-01 14:30:00,1,2.6840026194173365
catch_up_disturbance,2022-03-02 14:30:00,2022-03-02 14:30:00,1,2.5931609518109213
catch_up_disturbance,2022-03-03 14:30:00,2022-03-03 14:30:00,1,2.8154641673886593
catch_up_disturbance,2022-06-07 13:30:00,2022-06-07 13:30:00,1,1.904039412116582
catch_up_disturbance,2022-06-08 13:30:00,2022-06-08 13:30:00,1,1.8812029098181022
catch_up_disturbance,2022-06-09 13:30:00,2022-06-09 13:30:00,1,1.979264515547273
catch_up_disturbance,2022-07-18 13:30:00,2022-07-18 13:30:00,1,0.2678211421699139
catch_up_disturbance,2022-07-19 13:30:00,2022-07-19 13:30:00,1,0.9185524033398348
catch_up_disturbance,2022-07-20 13:30:00,2022-07-20 13:30:00,1,0.7724977309479438
catch_up_disturbance,2022-07-21 13:30:00,2022-07-21 13:30:00,1,0.8895410457292782
catch_up_disturbance,2022-09-01 04:00:00,2022-09-01 04:00:00,1,1.5077650522550377
catch_up_disturbance,2022-09-01 13:30:00,2022-09-01 13:30:00,1,1.0624136302885294
catch_up_disturbance,2022-09-02 13:30:00,2022-09-02 13:30:00,1,1.2785637753329886
catch_up_disturbance,2022-09-06 13:30:00,2022-09-06 13:30:00,1,1.4144592882456668
catch_up_disturbance,2022-10-24 13:30:00,2022-10-24 13:30:00,1,-0.044729648646159824
catch_up_disturbance,2022-10-25 13:30:00,2022-10-25 13:30:00,1,0.5581421818766622
catch_up_disturbance,2022-10-27 13:30:00,2022-10-27 13:30:00,1,0.7942845070354384
catch_up_disturbance,2022-10-31 13:30:00,2022-10-31 13:30:00,1,1.6496448774839492
catch_up_disturbance,2023-03-07 14:30:00,2023-03-07 14:30:00,1,3.0079525987403
catch_up_disturbance,2023-04-12 13:30:00,2023-04-12 13:30:00,1,-1.0231895538467302
catch_up_disturbance,2023-04-13 13:30:00,2023-04-13 13:30:00,1,-0.13834542464340238
catch_up_disturbance,2023-04-14 13:30:00,2023-04-14 13:30:00,1,-0.4584543249890374
catch_up_disturbance,2023-06-01 04:00:00,2023-06-01 04:00:00,1,2.2499836118645575
catch_up_disturbance,2023-06-26 13:30:00,2023-06-26 13:30:00,1,1.7346782518861752
catch_up_disturbance,2023-07-10 13:30:00,2023-07-10 13:30:00,1,2.0644340640916314
catch_up_disturbance,2023-08-08 13:30:00,2023-08-08 13:30:00,1,-1.7889269763092708
catch_up_disturbance,2023-08-09 13:30:00,2023-08-09 13:30:00,1,-0.3377890706122939
catch_up_disturbance,2023-08-10 13:30:00,2023-08-10 13:30:00,1,0.07649800847842288
catch_up_disturbance,2023-08-11 13:30:00,2023-08-11 13:30:00,1,0.27424411934455
catch_up_disturbance,2023-08-14 13:30:00,2023-08-14 13:30:00,1,0.019130771038295205
catch_up_disturbance,2023-08-15 13:30:00,2023-08-15 13:30:00,1,0.08184510432303223
catch_up_disturbance,2023-08-29 13:30:00,2023-08-29 13:30:00,1,2.1414761745247146
catch_up_disturbance,2023-08-30 13:30:00,2023-08-30 13:30:00,1,1.6126204344222979
catch_up_disturbance,2023-10-12 13:30:00,2023-10-12 13:30:00,1,-0.5449419532736218
catch_up_disturbance,2023-12-01 05:00:00,2023-12-01 05:00:00,1,2.671282954073652
catch_up_disturbance,2024-02-20 14:30:00,2024-02-20 14:30:00,1,0.2903447115069311
catch_up_disturbance,2024-02-22 14:30:00,2024-02-22 14:30:00,1,1.2455187380009083
catch_up_disturbance,2024-02-23 14:30:00,2024-02-23 14:30:00,1,1.0989864359068038
catch_up_disturbance,2024-03-01 05:00:00,2024-03-01 05:00:00,1,3.509775356847967
catch_up_disturbance,2024-06-13 13:30:00,2024-06-13 13:30:00,1,0.6990372656934116
catch_up_disturbance,2024-07-01 13:30:00,2024-07-01 13:30:00,1,2.590960825276318
catch_up_disturbance,2024-07-02 13:30:00,2024-07-02 13:30:00,1,1.7328715672716608
catch_up_disturbance,2024-07-03 13:30:00,2024-07-03 13:30:00,1,2.62481300031628
catch_up_disturbance,2024-07-05 13:30:00,2024-07-05 13:30:00,1,1.47966857696212
catch_up_disturbance,2024-07-08 13:30:00,2024-07-08 13:30:00,1,2.3826885194050917
catch_up_disturbance,2024-08-06 13:30:00,2024-08-06 13:30:00,1,-0.8872763071819002
catch_up_disturbance,2024-08-09 13:30:00,2024-08-09 13:30:00,1,-0.35410081073776556
catch_up_disturbance,2024-08-14 13:30:00,2024-08-14 13:30:00,1,1.0141914924064717
catch_up_disturbance,2024-08-26 13:30:00,2024-08-26 13:30:00,1,1.239435179945701
catch_up_disturbance,2024-08-27 13:30:00,2024-08-27 13:30:00,1,1.6428028562356771
catch_up_disturbance,2024-09-01 04:00:00,2024-09-01 04:00:00,1,2.772324353414993
catch_up_disturbance,2024-10-30 13:30:00,2024-10-30 13:30:00,1,-0.056555701576332926
catch_up_disturbance,2025-02-03 14:30:00,2025-02-03 14:30:00,1,1.1059073437810136
catch_up_disturbance,2025-02-04 14:30:00,2025-02-04 14:30:00,1,0.6624156596886082
catch_up_disturbance,2025-02-26 14:30:00,2025-02-26 14:30:00,1,0.7022038619960551
catch_up_disturbance,2025-02-27 14:30:00,2025-02-27 14:30:00,1,0.6801165502300027
catch_up_disturbance,2025-02-28 14:30:00,2025-02-28 14:30:00,1,-0.5216640667783498
catch_up_disturbance,2025-03-01 05:00:00,2025-03-01 05:00:00,1,0.9268778049236311
catch_up_disturbance,2025-03-11 13:30:00,2025-03-11 13:30:00,1,-0.3127505404387817
catch_up_disturbance,2025-03-12 13:30:00,2025-03-12 13:30:00,1,0.4497760615661448
catch_up_disturbance,2025-03-13 13:30:00,2025-03-13 13:30:00,1,0.9722170119456369
catch_up_disturbance,2025-03-14 13:30:00,2025-03-14 13:30:00,1,0.9685018497109049
catch_up_disturbance,2025-03-17 13:30:00,2025-03-17 13:30:00,1,1.203387112414427
catch_up_disturbance,2025-03-18 13:30:00,2025-03-18 13:30:00,1,1.3735416230534523
catch_up_disturbance,2025-04-29 13:30:00,2025-04-29 13:30:00,1,1.2610407425241987
catch_up_disturbance,2025-04-30 13:30:00,2025-04-30 13:30:00,1,2.0499792915107813
catch_up_disturbance,2025-08-01 13:30:00,2025-08-01 13:30:00,1,1.420936430519531
catch_up_disturbance,2025-08-04 13:30:00,2025-08-04 13:30:00,1,0.7026072729030268
catch_up_disturbance,2025-08-05 13:30:00,2025-08-05 13:30:00,1,0.5910631060298713
catch_up_disturbance,2025-09-05 13:30:00,2025-09-05 13:30:00,1,-0.5869318945646862
catch_up_disturbance,2025-09-08 13:30:00,2025-09-08 13:30:00,1,-0.2784277555801153
catch_up_disturbance,2025-09-09 13:30:00,2025-09-09 13:30:00,1,-0.37228626326910014
catch_up_disturbance,2025-09-10 13:30:00,2025-09-10 13:30:00,1,1.2786678683665806
catch_up_disturbance,2025-09-11 13:30:00,2025-09-11 13:30:00,1,0.8882631388233754
catch_up_disturbance,2025-09-12 13:30:00,2025-09-12 13:30:00,1,0.9780547067218582
catch_up_disturbance,2025-09-16 13:30:00,2025-09-16 13:30:00,1,1.1702094805910837
catch_up_disturbance,2025-10-27 13:30:00,2025-10-27 13:30:00,1,0.3335701722788898
catch_up_disturbance,2025-10-29 13:30:00,2025-10-29 13:30:00,1,0.2072230229486535
catch_up_disturbance,2025-11-19 14:30:00,2025-11-19 14:30:00,1,1.546156387038694
catch_up_disturbance,2025-12-10 14:30:00,2025-12-10 14:30:00,1,0.6551041144534442
catch_up_disturbance,2025-12-11 14:30:00,2025-12-11 14:30:00,1,2.150435808051066
catch_up_disturbance,2025-12-12 14:30:00,2025-12-12 14:30:00,1,1.0025800216784748
catch_up_disturbance,2025-12-15 14:30:00,2025-12-15 14:30:00,1,1.2743484680757458
catch_up_disturbance,2026-01-02 14:30:00,2026-01-02 14:30:00,1,1.0860503962694537
catch_up_disturbance,2026-01-06 14:30:00,2026-01-06 14:30:00,1,1.0509938519880684
catch_up_disturbance,2026-01-14 14:30:00,2026-01-14 14:30:00,1,1.1737841570253444
catch_up_disturbance,2026-01-15 14:30:00,2026-01-15 14:30:00,1,1.5489611008828486
catch_up_disturbance,2026-01-16 14:30:00,2026-01-16 14:30:00,1,3.0110277159145418
catch_up_disturbance,2026-01-20 14:30:00,2026-01-20 14:30:00,1,2.903497825227421
catch_up_disturbance,2026-01-21 14:30:00,2026-01-21 14:30:00,1,2.737880994829899
catch_up_disturbance,2026-03-24 13:30:00,2026-03-24 13:30:00,1,0.8160210219894204
catch_up_disturbance,2026-04-30 13:30:00,2026-04-30 13:30:00,1,1.0773959609921628
catch_up_disturbance,2026-05-01 13:30:00,2026-05-01 13:30:00,1,1.6206839392528782
catch_up_disturbance,2026-05-04 13:30:00,2026-05-04 13:30:00,1,2.3360579518469864
catch_up_disturbance,2026-05-06 13:30:00,2026-05-06 13:30:00,1,1.9013915780662813
catch_up_disturbance,2026-05-27 13:30:00,2026-05-27 13:30:00,1,0.29655358397973414
catch_up_disturbance,2026-05-28 13:30:00,2026-05-28 13:30:00,1,0.7665743468563458
catch_up_disturbance,2026-06-16 13:30:00,2026-06-16 13:30:00,1,1.2200147303246047
catch_up_disturbance,2026-06-17 13:30:00,2026-06-17 13:30:00,1,1.3303571709447608
catch_up_disturbance,2026-06-18 13:30:00,2026-06-18 13:30:00,1,0.8486167676956049
catch_up_disturbance,2026-06-22 13:30:00,2026-06-22 13:30:00,1,1.2350061245457464
catch_up_disturbance,2026-07-10 13:30:00,2026-07-10 13:30:00,1,-0.2125942955136355
catch_up_disturbance,2026-07-23 13:30:00,2026-07-23 13:30:00,1,0.17700589994182842
catch_up_disturbance,2026-07-31 13:30:00,2026-07-31 13:30:00,1,2.7455963795161376
catch_up_disturbance,2026-08-03 13:30:00,2026-08-03 13:30:00,1,3.592654533495287
catch_up_disturbance,2026-08-04 13:30:00,2026-08-04 13:30:00,1,2.710206654299279
catch_up_disturbance,2026-08-05 13:30:00,2026-08-05 13:30:00,1,2.5047179019394172
