"STUB_1","3/25/11","3/18/11","Difference","3/26/10","Percent Change","3/27/09","Percent Change"
"Crude Oil","1,082.254","1,079.309","2.945","1,080.796","0.100","1,070.442","1.100"
"Commercial (Excluding SPR)","355.712","352.767","2.945","354.189","0.400","359.427","-1.000"
"East Coast (PADD 1)","11.778","10.959","0.819","12.760","-7.700","13.178","-10.600"
"Midwest (PADD 2)","106.207","105.053","1.154","85.009","24.900","85.607","24.100"
"Cushing","41.886","40.197","1.689","30.936","35.400","30.853","35.800"
"Gulf Coast (PADD 3)","172.541","171.829","0.712","187.218","-7.800","187.446","-8.000"
"Rocky Mountain (PADD 4)","15.327","15.370","-0.043","16.234","-5.600","14.972","2.400"
"West Coast (PADD 5)","49.859","49.556","0.303","52.968","-5.900","58.224","-14.400"
"Alaska In-Transit","3.968","4.390","-0.422","–","–","–","–"
"SPR","726.542","726.542","0.000","726.607","0.000","711.015","2.200"
"Total Motor Gasoline","217.036","219.720","-2.684","224.872","-3.500","216.793","0.100"
"Reformulated","1.098","1.208","-0.110","1.252","-12.300","1.300","-15.500"
"Conventional","63.585","65.779","-2.194","79.680","-20.200","85.936","-26.000"
"Blending Components","152.353","152.733","-0.380","143.940","5.800","129.557","17.600"
"Fuel Ethanol","20.092","20.048","0.044","–","–","–","–"
"Kerosene-Type Jet Fuel","40.577","39.138","1.439","41.992","-3.400","39.540","2.600"
"Distillate Fuel Oil","153.325","152.615","0.710","144.606","6.000","144.153","6.400"
"15 ppm sulfur and Under","107.939","107.226","0.713","88.547","21.900","86.333","25.000"
"> 15 ppm to 500 ppm sulfur","10.189","9.363","0.826","14.354","-29.000","19.679","-48.200"
"> 500 ppm sulfur","35.198","36.026","-0.828","41.705","-15.600","38.141","-7.700"
"Residual Fuel Oil","37.435","36.430","1.005","39.933","-6.300","35.515","5.400"
"Propane/Propylene","26.895","27.001","-0.106","25.617","5.000","38.416","-30.000"
"Other Oils ","191.047","191.071","-0.024","–","–","–","–"
"Unfinished Oils","84.188","85.637","-1.449","81.188","3.700","87.978","-4.300"
"Total Stocks (Including SPR)","1,768.661","1,765.332","3.329","1,769.004","0.000","1,762.537","0.300"
"Total Stocks (Excluding SPR)","1,042.119","1,038.790","3.329","1,042.397","0.000","1,051.522","-0.900"
