"STUB_1","STUB_2","3/25/11","3/18/11","3/26/10","3/27/09","3/25/11","3/26/10"
"Crude Oil Production ","Domestic Production","5,568","5,570","5,489","5,480","5,581","5,523"
"Crude Oil Production ","Alaska","592","594","658","722","600","656"
"Crude Oil Production ","Lower 48","4,976","4,976","4,831","4,758","4,981","4,867"
"Refiner Inputs and Utilization ","Crude Oil Inputs","14,332","14,349","14,234","14,158","14,202","14,035"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","939","1,074","1,055","1,189","1,039","1,045"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,264","3,215","3,007","2,895","3,202","3,116"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","7,206","7,157","7,331","7,194","7,010","7,077"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","515","538","502","502","537","481"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,409","2,364","2,339","2,378","2,413","2,316"
"Refiner Inputs and Utilization ","Gross Inputs","14,798","14,794","14,610","14,402","14,673","14,371"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","928","1,074","1,079","1,157","1,030","1,065"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,291","3,258","3,019","2,903","3,241","3,128"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","7,412","7,358","7,489","7,316","7,238","7,226"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","518","542","505","508","539","484"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,650","2,562","2,518","2,518","2,625","2,468"
"Refiner Inputs and Utilization ","Operable Capacity","17,594","17,594","17,688","17,621","17,594","17,688"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,397","1,397","–","–","1,397","–"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,728","3,728","–","–","3,728","–"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,626","8,626","–","–","8,626","–"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","623","623","–","–","623","–"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","3,219","3,219","–","–","3,219","–"
"Refiner Inputs and Utilization ","Percent Utilization","84.1","84.1","82.6","81.7","83.4","81.2"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","66.4","76.9","–","–","73.7","–"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","88.3","87.4","–","–","86.9","–"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","85.9","85.3","–","–","83.9","–"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","83.1","87.0","–","–","86.5","–"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","82.3","79.6","–","–","81.5","–"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","966","1,192","865","1,542","1,068","795"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,999","2,055","–","–","2,018","–"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","167","236","–","–","200","–"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,293","-1,334","–","–","-1,323","–"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","9","25","–","–","12","–"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","84","210","–","–","161","–"
"Refiner and Blender Net Inputs ","RBOB","376","584","–","–","430","–"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","508","498","–","–","461","–"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","72","87","–","–","59","–"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-255","-190","–","–","-220","–"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","–","–","0","–"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","51","189","–","–","130","–"
"Refiner and Blender Net Inputs ","CBOB","446","420","–","–","450","–"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,328","1,387","–","–","1,366","–"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","102","135","–","–","123","–"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,011","-1,154","–","–","-1,075","–"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","11","–","–","3","–"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","26","42","–","–","33","–"
"Refiner and Blender Net Inputs ","GTAB","48","51","–","–","68","–"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","48","51","–","–","68","–"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","0","0","–","–","0","–"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","0","0","–","–","0","–"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","–","–","0","–"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","0","0","–","–","0","–"
"Refiner and Blender Net Inputs ","All Other Blending Components","96","137","–","–","120","–"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","114","119","–","–","124","–"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","-7","14","–","–","18","–"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-27","10","–","–","-28","–"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","9","15","–","–","9","–"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","6","-21","–","–","-2","–"
"Refiner and Blender Net Inputs ","Fuel Ethanol","809","804","–","–","800","–"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","332","312","–","–","315","–"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","204","212","–","–","209","–"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","114","115","–","–","114","–"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","18","17","–","–","17","–"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","142","148","–","–","145","–"
"Refiner and Blender Net Production ","Finished Motor Gasoline","8,696","9,026","9,036","8,733","8,873","8,945"
"Refiner and Blender Net Production ","Finished Motor Gasoline (less Adjustment)","8,821","9,067","9,036","8,733","8,939","8,945"
"Refiner and Blender Net Production ","East Coast (PADD 1)","2,764","2,875","2,426","2,029","2,836","2,403"
"Refiner and Blender Net Production ","Midwest (PADD 2)","2,100","2,116","2,116","2,096","2,127","2,161"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","2,202","2,205","2,593","2,837","2,152","2,504"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","268","293","274","288","288","300"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,487","1,578","1,627","1,483","1,536","1,578"
"Refiner and Blender Net Production ","Adjustment","-125","-41","–","–","-66","–"
"Refiner and Blender Net Production ","Reformulated","2,941","3,052","3,058","3,061","2,990","3,022"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,171","1,211","1,190","1,234","1,185","1,181"
"Refiner and Blender Net Production ","Midwest (PADD 2)","339","362","353","354","347","360"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","380","377","384","381","381","387"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,050","1,102","1,131","1,092","1,076","1,094"
"Refiner and Blender Net Production ","Blended with Fuel Ethanol","2,943","3,054","3,044","3,059","2,991","3,018"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,173","1,212","–","–","1,187","–"
"Refiner and Blender Net Production ","Midwest (PADD 2)","339","362","–","–","347","–"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","380","377","–","–","381","–"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","–","–","0","–"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,050","1,102","–","–","1,076","–"
"Refiner and Blender Net Production ","Other","-2","-2","14","2","-2","–"
"Refiner and Blender Net Production ","East Coast (PADD 1)","-2","-2","–","–","-2","–"
"Refiner and Blender Net Production ","Midwest (PADD 2)","0","0","–","–","0","–"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","0","0","–","–","0","–"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","–","–","0","–"
"Refiner and Blender Net Production ","West Coast (PADD 5)","0","0","–","–","0","–"
"Refiner and Blender Net Production ","Conventional","5,880","6,014","5,978","5,672","5,949","5,923"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,593","1,664","1,236","795","1,651","1,221"
"Refiner and Blender Net Production ","Midwest (PADD 2)","1,761","1,753","1,763","1,742","1,779","1,801"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","1,822","1,828","2,209","2,456","1,771","2,118"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","268","293","274","288","288","300"
"Refiner and Blender Net Production ","West Coast (PADD 5)","437","476","496","391","459","484"
"Refiner and Blender Net Production ","Blended with Fuel Ethanol","4,867","4,952","4,436","3,693","4,898","4,411"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,877","1,897","–","–","1,889","–"
"Refiner and Blender Net Production ","Midwest (PADD 2)","1,688","1,744","–","–","1,719","–"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","758","767","–","–","749","–"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","174","169","–","–","172","–"
"Refiner and Blender Net Production ","West Coast (PADD 5)","369","375","–","–","370","–"
"Refiner and Blender Net Production ","Ed55 and Lower","4,865","4,950","–","–","4,896","–"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,877","1,897","–","–","1,889","–"
"Refiner and Blender Net Production ","Midwest (PADD 2)","1,686","1,742","–","–","1,718","–"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","758","767","–","–","749","–"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","174","169","–","–","172","–"
"Refiner and Blender Net Production ","West Coast (PADD 5)","369","375","–","–","370","–"
"Refiner and Blender Net Production ","Greater than Ed55","2","2","–","–","2","–"
"Refiner and Blender Net Production ","East Coast (PADD 1)","0","0","–","–","0","–"
"Refiner and Blender Net Production ","Midwest (PADD 2)","1","1","–","–","2","–"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","0","0","–","–","0","–"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","–","–","0","–"
"Refiner and Blender Net Production ","West Coast (PADD 5)","0","0","–","–","0","–"
"Refiner and Blender Net Production ","Other","1,014","1,063","1,542","1,979","1,051","1,513"
"Refiner and Blender Net Production ","East Coast (PADD 1)","-285","-233","–","–","-238","–"
"Refiner and Blender Net Production ","Midwest (PADD 2)","73","10","–","–","60","–"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","1,064","1,061","–","–","1,022","–"
