"STUB_1","5/13/11","5/6/11","Difference","Percent Change","5/14/10","Difference","Percent Change"
"Crude Oil","1,096.854","1,096.869","-0.015","0.000","1,089.283","7.571","0.700"
"Commercial (Excluding SPR)","370.312","370.327","-0.015","0.000","362.686","7.626","2.100"
"Strategic Petroleum Reserve (SPR)","726.542","726.542","0.000","0.000","726.597","-0.055","0.000"
"Total Motor Gasoline","205.936","205.817","0.119","0.100","221.834","-15.898","-7.200"
"Reformulated","0.217","0.228","-0.011","-4.800","2.120","-1.903","-89.800"
"Conventional","55.102","55.554","-0.452","-0.800","77.377","-22.275","-28.800"
"Blending Components","150.617","150.034","0.583","0.400","142.337","8.280","5.800"
"Fuel Ethanol","20.412","20.439","-0.027","-0.100","–","–","–"
"Kerosene-Type Jet Fuel","39.266","39.942","-0.676","-1.700","44.074","-4.808","-10.900"
"Distillate Fuel Oil","143.132","144.289","-1.157","-0.800","152.810","-9.678","-6.300"
"15 ppm sulfur and Under","102.153","103.311","-1.158","-1.100","92.671","9.482","10.200"
"> 15 ppm to 500 ppm sulfur","9.377","9.378","-0.001","0.000","14.864","-5.487","-36.900"
"> 500 ppm sulfur","31.602","31.601","0.001","0.000","45.275","-13.673","-30.200"
"Residual Fuel Oil","36.306","37.576","-1.270","-3.400","45.808","-9.502","-20.700"
"Propane/Propylene","30.478","28.761","1.717","6.000","39.521","-9.043","-22.900"
"Other Oils","201.616","200.373","1.243","0.600","–","–","–"
"Unfinished Oils","87.495","86.944","0.551","0.600","82.538","4.957","6.000"
"Total Stocks (Including SPR)","1,774.000","1,774.066","-0.066","0.000","1,813.921","-39.921","-2.200"
"Total Stocks (Excluding SPR)","1,047.458","1,047.524","-0.066","0.000","1,087.324","-39.866","-3.700"
"STUB_1","STUB_2","5/13/11","5/6/11","Difference","5/14/10","Difference","5/13/11","5/14/10","Percent Change","5/13/11","5/14/10","Percent Change"
"Crude Oil Supply ","(1)     Domestic Production","5,618","5,609","9","5,516","102","5,615","5,515","1.8","5,566","5,487","1.4"
"Crude Oil Supply ","(2)        Alaska","599","590","9","550","49","596","620","-3.9","568","640","-11.2"
"Crude Oil Supply ","(3)        Lower 48","5,019","5,019","0","4,866","153","5,020","4,875","3.0","4,998","4,848","3.1"
"Crude Oil Supply ","(4)     Net Imports (Including SPR)","8,536","8,930","-394","9,795","-1,259","8,885","9,753","-8.9","8,698","8,994","-3.3"
"Crude Oil Supply ","(5)        Imports","8,570","8,964","-394","9,829","-1,259","8,919","9,787","-8.9","8,732","9,027","-3.3"
"Crude Oil Supply ","(6)            Commercial Crude Oil","8,570","8,964","-394","9,829","-1,259","8,919","9,787","-8.9","8,732","9,027","-3.3"
"Crude Oil Supply ","(7)            Imports by SPR","0","0","0","0","0","0","0","–","0","0","–"
"Crude Oil Supply ","(8)            Imports into SPR by Others","0","0","0","–","–","0","–","–","0","–","–"
"Crude Oil Supply ","(9)        Exports","34","34","0","34","0","34","34","0.0","34","33","1.0"
"Crude Oil Supply ","(10)   Stock Change (+/build; -/draw)","-2","540","-542","23","-25","477","244","– –","268","266","– –"
"Crude Oil Supply ","(11)       Commercial Stock Change","-2","540","-542","23","-25","477","244","– –","268","266","– –"
"Crude Oil Supply ","(12)       SPR Stock Change","0","0","0","0","0","0","0","– –","0","0","– –"
"Crude Oil Supply ","(13)   Adjustment","191","109","82","-96","287","124","59","– –","153","49","– –"
"Crude Oil Supply ","(14)   Crude Oil Input to Refineries","14,347","14,108","239","15,192","-845","14,148","15,083","-6.2","14,150","14,264","-0.8"
"Other Supply ","(15)   Production","3,895","3,839","55","–","–","3,920","–","–","3,998","–","–"
"Other Supply ","(16)      Natural Gas Plant Liquids","1,920","1,920","0","–","–","1,971","–","–","2,039","–","–"
"Other Supply ","(17)      Renewable Fuels/Oxygenate Plant","936","898","38","–","–","922","–","–","939","–","–"
"Other Supply ","(18)           Fuel Ethanol","900","862","38","–","–","880","–","–","893","–","–"
"Other Supply ","(19)          Other","36","36","0","–","–","42","–","–","46","–","–"
"Other Supply ","(20)      Refinery Processing Gain","1,039","1,021","17","1,054","-15","1,027","1,041","-1.3","1,020","975","4.6"
"Other Supply ","(21)   Net Imports","103","431","-328","513","-410","538","874","-38.4","356","952","-62.6"
"Other Supply ","(22)      Imports","2,260","2,619","-359","2,264","-4","2,719","2,587","5.1","2,565","2,627","-2.4"
"Other Supply ","(23)      Exports","2,157","2,188","-31","1,751","406","2,180","1,713","27.3","2,209","1,675","31.9"
"Other Supply ","(24)   Stock Change (+/build; -/draw)","-7","377","-384","149","-156","123","732","– –","-392","22","– –"
"Other Supply ","(25)   Adjustment","163","163","0","–","–","167","–","– –","183","–","– –"
"Products Supplied ","(26)   Total","18,515","18,164","351","19,604","-1,089","18,650","19,205","-2.9","19,079","19,069","0.0"
"Products Supplied ","(27)     Finished Motor Gasoline","9,048","8,826","222","9,092","-44","8,991","9,201","-2.3","8,916","8,955","-0.4"
"Products Supplied ","(28)     Kerosene-Type Jet Fuel","1,510","1,335","175","1,471","39","1,474","1,443","2.1","1,407","1,370","2.7"
"Products Supplied ","(29)     Distillate Fuel Oil","3,620","3,769","-149","4,086","-466","3,755","3,867","-2.9","3,787","3,727","1.6"
"Products Supplied ","(30)     Residual Fuel Oil","548","596","-48","506","42","526","491","7.1","555","547","1.6"
"Products Supplied ","(31)     Propane/Propylene","760","926","-166","1,147","-387","883","902","-2.1","1,212","1,230","-1.5"
"Products Supplied ","(32)     Other Oils","3,029","2,712","317","3,301","-272","3,021","3,301","-8.5","3,201","3,240","-1.2"
"Net Imports of Crude and Petroleum Products ","(33)   Total","8,639","9,361","-722","10,308","-1,669","9,424","10,627","-11.3","9,054","9,946","-9.0"

