"STUB_1","7/22/11","7/15/11","Difference","Percent Change","7/23/10","Difference","Percent Change"
"Crude Oil","1,078.288","1,078.260","0.028","0.000","1,087.353","-9.065","-0.800"
"Commercial (Excluding SPR)","354.025","351.729","2.296","0.700","360.764","-6.739","-1.900"
"Strategic Petroleum Reserve (SPR)","724.263","726.531","-2.268","-0.300","726.589","-2.326","-0.300"
"Total Motor Gasoline","213.478","212.456","1.022","0.500","222.245","-8.767","-3.900"
"Reformulated","0.053","0.133","-0.080","-60.200","1.700","-1.647","-96.900"
"Conventional","55.231","54.455","0.776","1.400","75.880","-20.649","-27.200"
"Blending Components","158.194","157.868","0.326","0.200","144.665","13.529","9.400"
"Fuel Ethanol","18.872","19.145","-0.273","-1.400","19.523","-0.651","-3.300"
"Kerosene-Type Jet Fuel","45.028","45.057","-0.029","-0.100","48.311","-3.283","-6.800"
"Distillate Fuel Oil","151.845","148.460","3.385","2.300","167.513","-15.668","-9.400"
"15 ppm sulfur and Under","104.208","101.926","2.282","2.200","106.607","-2.399","-2.300"
"> 15 ppm to 500 ppm sulfur","11.223","10.668","0.555","5.200","11.776","-0.553","-4.700"
"> 500 ppm sulfur","36.414","35.865","0.549","1.500","49.130","-12.716","-25.900"
"Residual Fuel Oil","37.453","37.225","0.228","0.600","40.341","-2.888","-7.200"
"Propane/Propylene","48.247","46.601","1.646","3.500","53.010","-4.763","-9.000"
"Other Oils","216.155","213.000","3.155","1.500","207.105","9.050","4.400"
"Unfinished Oils","85.390","85.527","-0.137","-0.200","79.119","6.271","7.900"
"Total Stocks (Including SPR)","1,809.366","1,800.204","9.162","0.500","1,845.401","-36.035","-2.000"
"Total Stocks (Excluding SPR)","1,085.103","1,073.673","11.430","1.100","1,118.812","-33.709","-3.000"
"STUB_1","STUB_2","7/22/11","7/15/11","Difference","7/23/10","Difference","7/22/11","7/23/10","Percent Change","7/22/11","7/23/10","Percent Change"
"Crude Oil Supply ","(1)     Domestic Production","5,377","5,591","-214","5,486","-109","5,517","5,428","1.6","5,570","5,467","1.9"
"Crude Oil Supply ","(2)        Alaska","303","517","-214","575","-272","458","542","-15.4","552","606","-8.9"
"Crude Oil Supply ","(3)        Lower 48","5,074","5,074","0","4,911","163","5,058","4,886","3.5","5,018","4,861","3.2"
"Crude Oil Supply ","(4)     Net Imports (Including SPR)","9,805","9,308","497","11,120","-1,315","9,474","9,923","-4.5","8,862","9,262","-4.3"
"Crude Oil Supply ","(5)        Imports","9,840","9,343","497","11,153","-1,313","9,509","9,956","-4.5","8,896","9,295","-4.3"
"Crude Oil Supply ","(6)            Commercial Crude Oil","9,840","9,343","497","11,153","-1,313","9,509","9,956","-4.5","8,896","9,295","-4.3"
"Crude Oil Supply ","(7)            Imports by SPR","0","0","0","0","0","0","0","–","0","0","–"
"Crude Oil Supply ","(8)            Imports into SPR by Others","0","0","0","0","0","0","0","–","0","–","–"
"Crude Oil Supply ","(9)        Exports","35","35","0","33","2","35","33","6.1","34","33","2.0"
"Crude Oil Supply ","(10)   Stock Change (+/build; -/draw)","4","-532","536","1,044","-1,040","-275","-84","– –","83","165","– –"
"Crude Oil Supply ","(11)       Commercial Stock Change","328","-532","860","1,044","-716","-194","-84","– –","94","165","– –"
"Crude Oil Supply ","(12)       SPR Stock Change","-324","0","-324","0","-324","-81","0","– –","-11","0","– –"
"Crude Oil Supply ","(13)   Adjustment","182","190","-8","-100","282","113","-16","– –","155","39","– –"
"Crude Oil Supply ","(14)   Crude Oil Input to Refineries","15,360","15,621","-261","15,462","-102","15,379","15,419","-0.3","14,504","14,603","-0.7"
"Other Supply ","(15)   Production","4,211","4,228","-18","3,924","286","4,218","3,937","7.1","4,054","–","–"
"Other Supply ","(16)      Natural Gas Plant Liquids","2,157","2,157","0","1,980","177","2,160","1,980","9.1","2,065","–","–"
